# Referentiel d'activite Vigie-Chiro Point Fixe (contacts/nuit)
# Source : Bas Y, Kerbiriou C, Roemer C & Julien JF (2020) Bat reference scale of activity levels (Team-Chiro / MNHN)
# https://croemer3.wixsite.com/teamchiro/reference-scales-of-activity - libre d'usage avec citation obligatoire
# national toutes-saisons = 2020 ; saisons/regions/habitats = 2023 ; genere par build_activity_ref.py
# Classes : Faible <Q25 | Moyenne Q25-Q75 | Forte Q75-Q98 | Tres forte >=Q98
code;referentiel;saison;q25;q75;q98;nbocc;confiance
amph;national;toutes;1;10;223;1895;Tres bonne
Antsp;national;toutes;1;16;457;340;Bonne
Aposp;national;toutes;2;19;379;109;Bonne
Barbar;national;toutes;2;16;181;4770;Tres bonne
Barfis;national;toutes;1;5;538;3003;Tres bonne
Condor;national;toutes;1;4;42;42;Moderee
Confus;national;toutes;1;4;104;1750;Tres bonne
criq;national;toutes;1;1;12;65;Moderee
Cympud;national;toutes;1;3;57;472;Bonne
Cyrscu;national;toutes;1;8;1346;2956;Tres bonne
Decalb;national;toutes;1;2;16;1937;Tres bonne
Epheph;national;toutes;1;8;178;4829;Tres bonne
Eptnil;national;toutes;1;2;27;267;Bonne
Eptser;national;toutes;2;24;323;9612;Tres bonne
Eupsp;national;toutes;1;4;41;5219;Tres bonne
gril;national;toutes;1;3;29;3093;Tres bonne
Hypsav;national;toutes;2;16;221;4828;Tres bonne
Insp11;national;toutes;1;2;8;143;Bonne
Insp12;national;toutes;1;1;2;52;Moderee
Inssp5;national;toutes;1;2;8;2035;Tres bonne
Inssp7;national;toutes;1;9;101;1460;Tres bonne
Inssp8;national;toutes;1;1;4;39;Faible
Isopyr;national;toutes;4;32;717;2447;Tres bonne
Lamsp.;national;toutes;1;5;345;2367;Tres bonne
Leppun;national;toutes;3;31;409;11282;Tres bonne
mamm;national;toutes;1;3;52;944;Tres bonne
Metbra;national;toutes;1;3;17;658;Tres bonne
Micagr;national;toutes;1;3;31;1757;Tres bonne
Mimasp;national;toutes;1;5;41;4142;Tres bonne
Minsch;national;toutes;2;23;660;4774;Tres bonne
Mussp;national;toutes;1;8;354;1179;Tres bonne
Myoalc;national;toutes;1;7;67;1362;Tres bonne
Myobec;national;toutes;1;2;16;677;Tres bonne
Myocap;national;toutes;2;30;442;1818;Tres bonne
Myodas;national;toutes;1;2;11;16;Faible
Myodau;national;toutes;2;18;1349;7356;Tres bonne
Myoema;national;toutes;1;9;69;6835;Tres bonne
MyoGT;national;toutes;1;6;73;2238;Tres bonne
Myomys;national;toutes;2;13;277;7737;Tres bonne
Myonat;national;toutes;2;14;229;6768;Tres bonne
Myosp;national;toutes;1;7;20;53;Moderee
noise;national;toutes;129;2433;8140;17420;Tres bonne
Nyclas;national;toutes;2;13;111;36;Faible
Nyclei;national;toutes;3;26;383;11433;Tres bonne
Nycnoc;national;toutes;2;13;272;5798;Tres bonne
Phafal;national;toutes;1;3;28;250;Bonne
Phanan;national;toutes;3;29;387;10381;Tres bonne
Phofem;national;toutes;1;2;25;2046;Tres bonne
Phogri;national;toutes;2;18;243;11846;Tres bonne
piaf;national;toutes;40;402;1489;10920;Tres bonne
Pipkuh;national;toutes;7;129;1734;13524;Tres bonne
Pipnat;national;toutes;2;16;237;7974;Tres bonne
Pippip;national;toutes;13;411;3737;14847;Tres bonne
Pippyg;national;toutes;2;84;1938;7794;Tres bonne
Plaaff;national;toutes;1;17;1167;221;Bonne
Plaalb;national;toutes;1;6;273;1980;Tres bonne
Plafal;national;toutes;1;1;3;11;Faible
Plaint;national;toutes;1;10;223;5939;Tres bonne
Plasab;national;toutes;1;9;214;756;Tres bonne
Pleaur;national;toutes;1;4;73;4046;Tres bonne
Pleaus;national;toutes;1;9;95;7076;Tres bonne
Plemac;national;toutes;1;3;19;516;Tres bonne
Plesp;national;toutes;1;4;10;36;Faible
Pteger;national;toutes;1;2;4;17;Faible
Ratnor;national;toutes;1;10;212;2356;Tres bonne
Rhasp;national;toutes;1;9;313;624;Tres bonne
Rhieur;national;toutes;1;18;778;1066;Tres bonne
Rhifer;national;toutes;2;21;672;3505;Tres bonne
Rhihip;national;toutes;2;20;996;4763;Tres bonne
Roeroe;national;toutes;1;8;825;2038;Tres bonne
Rusnit;national;toutes;1;11;1065;3586;Tres bonne
Sepsep;national;toutes;1;2;19;864;Tres bonne
Tadten;national;toutes;3;31;343;4424;Tres bonne
Testes;national;toutes;1;8;247;5958;Tres bonne
Tetarg;national;toutes;1;2;19;647;Tres bonne
Tetcan;national;toutes;1;1;10;24;Faible
Tetpyg;national;toutes;1;1;9;155;Bonne
Tetvir;national;toutes;6;68;1453;14866;Tres bonne
Thycor;national;toutes;1;1;2;49;Moderee
Tyllil;national;toutes;1;2;15;3234;Tres bonne
Urosp;national;toutes;1;4;539;2317;Tres bonne
Vesmur;national;toutes;1;2;13;178;Bonne
Yerbey;national;toutes;1;1;2;15;Faible
Yerray;national;toutes;1;10;90;7047;Tres bonne
Yposp;national;toutes;1;9;914;8947;Tres bonne
amph;habitat:Agricole;automne;1;4;378;19;Faible
Antsp;habitat:Agricole;automne;4;34;209;27;Faible
Barbar;habitat:Agricole;automne;2;34;645;162;Bonne
