nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260728_204003_000;3.7;4.8;24.0;noise;0.16;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204003_000;0.0;5.0;32.0;Testes;0.66;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204003_000;0.0;3.8;10.0;Tetvir;0.96;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204018_000;0.2;0.3;16.0;noise;0.06;Phogri, Phanan;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204018_000;0.0;2.0;33.0;Testes;0.76;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204018_000;1.3;1.4;9.0;Tetvir;0.55;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204021_000;0.3;3.3;14.0;noise;0.27;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204021_000;0.0;4.9;31.0;Testes;0.74;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204027_000;0.0;3.7;30.0;noise;0.44;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204027_000;0.1;3.7;36.0;Testes;0.52;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204031_000;0.0;2.4;17.0;noise;0.34;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204031_000;0.0;2.7;29.0;Testes;0.39;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204035_000;0.0;4.9;22.0;noise;0.25;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204035_000;0.0;5.0;31.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204047_000;0.1;1.6;28.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204047_000;0.0;2.1;33.0;Testes;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204053_000;0.0;3.9;13.0;noise;0.37;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204053_000;0.0;4.3;32.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204107_000;0.3;4.9;16.0;noise;0.38;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204107_000;0.0;5.0;32.0;Testes;0.66;Inssp7;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204121_000;0.0;4.8;24.0;noise;0.32;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204121_000;0.0;4.8;30.0;Testes;0.89;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204129_000;3.6;5.0;27.0;Eptser;0.8;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204129_000;0.0;4.5;25.0;noise;0.5;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204129_000;0.0;4.9;33.0;Testes;0.67;Inssp7;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204137_000;0.0;3.4;13.0;noise;0.27;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204137_000;0.0;3.5;32.0;Testes;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204143_000;0.0;2.4;24.0;noise;0.23;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204143_000;0.0;2.5;28.0;Testes;0.35;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204146_000;0.1;5.0;12.0;noise;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204146_000;0.0;5.0;33.0;Testes;0.81;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204202_000;0.1;4.9;11.0;noise;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204202_000;0.0;5.0;32.0;Testes;0.82;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204218_000;0.1;1.9;18.0;noise;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204218_000;0.2;1.6;20.0;Phogri;0.61;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204218_000;0.0;2.1;33.0;Testes;0.75;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204220_000;0.1;5.0;25.0;noise;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204220_000;0.0;5.0;31.0;Testes;0.85;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204233_000;0.0;2.2;14.0;Phogri;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204233_000;0.0;2.5;35.0;Testes;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204237_000;0.1;5.0;12.0;noise;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204237_000;0.0;5.0;32.0;Testes;0.67;Inssp7;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204253_000;0.1;3.9;13.0;noise;0.38;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204253_000;0.0;2.4;20.0;Phogri;0.79;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204253_000;0.0;3.9;31.0;Testes;0.79;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204308_000;0.0;4.9;16.0;noise;0.56;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204308_000;0.0;5.0;31.0;Testes;0.71;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204316_000;0.3;2.1;26.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204316_000;0.8;2.0;33.0;Testes;0.78;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204320_000;0.0;5.0;15.0;noise;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204320_000;0.0;5.0;30.0;Testes;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204328_000;0.0;4.5;30.0;noise;0.11;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204328_000;0.0;3.5;33.0;Testes;0.72;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204328_000;1.5;4.6;10.0;Tetvir;0.91;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204335_000;0.0;4.9;16.0;noise;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204335_000;0.1;4.9;31.0;Testes;0.75;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204335_000;0.4;4.2;9.0;Tetvir;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204350_000;0.1;3.7;26.0;noise;0.16;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260728_204350_000;0.0;4.3;31.0;Testes;0.42;;;;;
