nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car381009-2026-Pass1-Z1-2MU00693_20260729_203900_000;0.0;4.4;20.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203900_000;0.0;4.3;31.0;Testes;0.57;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203910_000;1.1;2.7;39.0;Leppun;0.85;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203910_000;0.0;4.8;17.0;noise;0.2;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203910_000;0.0;4.9;31.0;Testes;0.59;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203910_000;0.0;5.0;9.0;Tetvir;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203917_000;0.2;5.0;16.0;noise;0.47;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203917_000;0.0;4.9;30.0;Testes;0.84;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203926_000;0.0;3.4;40.0;noise;0.2;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203926_000;0.1;4.5;14.0;Phanan;0.08;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203926_000;0.0;4.5;32.0;Testes;0.34;Antsp;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203934_000;0.0;5.0;17.0;noise;0.43;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203934_000;0.0;5.0;31.0;Testes;0.71;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203946_000;0.0;5.0;41.0;Leppun;0.14;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203946_000;0.1;5.0;16.0;noise;0.13;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203946_000;0.0;5.0;31.0;Testes;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203946_000;0.2;5.0;11.0;Tetvir;0.94;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203958_000;0.0;0.1;40.0;Leppun;0.8;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203958_000;0.1;1.9;10.0;noise;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_203958_000;0.0;1.9;31.0;Testes;0.77;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204001_000;0.0;2.0;27.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204001_000;0.0;2.0;30.0;Testes;0.27;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204003_000;0.0;2.0;38.0;Leppun;0.97;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204003_000;0.0;1.9;22.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204003_000;0.0;2.0;28.0;Testes;0.66;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204003_000;0.4;2.1;9.0;Tetvir;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204006_000;0.0;5.0;17.0;noise;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204006_000;0.0;5.0;31.0;Testes;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204021_000;0.6;4.6;23.0;noise;0.48;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204021_000;0.0;5.0;30.0;Testes;0.71;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204021_000;0.0;5.0;10.0;Tetvir;0.93;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204035_000;0.0;4.9;24.0;noise;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204035_000;0.0;4.9;32.0;Testes;0.55;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204041_000;0.2;3.3;27.0;noise;0.23;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204041_000;0.0;3.3;32.0;Testes;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204041_000;0.2;3.4;9.0;Tetvir;0.85;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204045_000;0.2;2.3;15.0;noise;0.34;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204045_000;0.0;2.3;30.0;Testes;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204048_000;0.3;4.8;43.0;noise;0.39;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204048_000;0.0;5.0;31.0;Testes;0.76;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204103_000;0.0;4.9;27.0;noise;0.27;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204103_000;0.0;5.0;32.0;Testes;0.77;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204103_000;0.0;5.0;9.0;Tetvir;0.97;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204112_000;0.0;2.8;30.0;noise;0.63;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204112_000;0.0;2.5;34.0;Testes;0.86;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204112_000;0.5;2.5;9.0;Tetvir;0.65;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204119_000;0.1;5.0;14.0;noise;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204119_000;0.0;5.0;32.0;Testes;0.81;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204128_000;0.0;4.5;23.0;noise;0.47;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204128_000;0.0;5.0;33.0;Testes;0.66;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204128_000;0.1;5.0;12.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204147_000;0.0;4.9;20.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204147_000;0.0;5.0;32.0;Testes;0.57;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204203_000;0.0;5.0;21.0;noise;0.6;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204203_000;0.0;4.8;32.0;Testes;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204220_000;0.0;4.6;16.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204220_000;0.0;5.0;32.0;Testes;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204226_000;0.0;3.3;34.0;noise;0.32;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204226_000;0.0;3.2;33.0;Testes;0.91;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204236_000;0.0;4.1;14.0;noise;0.67;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204236_000;0.0;4.2;32.0;Testes;0.56;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204242_000;0.0;4.2;43.0;noise;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204242_000;0.0;4.5;33.0;Testes;0.82;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204250_000;0.3;4.9;20.0;noise;0.48;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204250_000;0.0;4.9;32.0;Testes;0.72;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204306_000;0.0;4.4;26.0;noise;0.38;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204306_000;0.0;4.4;33.0;Testes;0.28;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204311_000;0.0;4.6;29.0;noise;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204311_000;0.0;5.0;33.0;Testes;0.7;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204311_000;0.0;5.0;17.0;Tetvir;0.9;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204323_000;0.1;3.9;23.0;noise;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204323_000;0.0;4.1;32.0;Testes;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204327_000;0.0;5.0;37.0;Testes;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204327_000;1.3;5.0;17.0;Tetvir;0.56;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204341_000;0.3;5.0;17.0;noise;0.72;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204341_000;0.0;5.0;34.0;Testes;0.8;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204348_000;0.0;2.4;29.0;noise;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204348_000;0.0;2.5;34.0;Testes;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204348_000;0.0;4.1;11.0;Tetvir;0.86;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204357_000;0.1;4.8;32.0;noise;0.23;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204357_000;0.0;3.5;33.0;Testes;0.57;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204405_000;0.3;3.7;13.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204405_000;0.0;3.7;33.0;Testes;0.7;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204413_000;1.3;4.7;14.0;noise;0.18;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204413_000;0.0;4.5;33.0;Testes;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204413_000;0.0;5.0;21.0;Tetvir;0.88;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204420_000;0.3;1.8;25.0;noise;0.18;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204420_000;0.0;2.1;32.0;Testes;0.54;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204420_000;0.0;1.8;12.0;Tetvir;0.84;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204423_000;0.0;5.0;20.0;noise;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204423_000;0.0;5.0;32.0;Testes;0.5;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204429_000;0.4;2.8;33.0;Phogri;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204429_000;0.0;4.8;34.0;Testes;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204429_000;0.1;3.5;10.0;Tetvir;0.84;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204440_000;0.0;4.9;18.0;noise;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204440_000;0.0;5.0;33.0;Testes;0.74;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204458_000;0.0;5.0;27.0;noise;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204458_000;0.0;5.0;33.0;Testes;0.79;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204515_000;0.0;4.2;30.0;noise;0.43;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204515_000;0.0;4.6;34.0;Testes;0.64;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204515_000;0.0;4.5;12.0;Tetvir;0.94;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204532_000;0.0;4.3;25.0;noise;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204532_000;0.0;4.3;33.0;Testes;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204550_000;0.0;5.0;15.0;noise;0.46;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204550_000;0.0;5.0;33.0;Testes;0.55;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204609_000;0.0;5.0;15.0;noise;0.3;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204609_000;0.0;4.5;33.0;Testes;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204609_000;2.0;4.8;9.0;Tetvir;0.56;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204616_000;0.0;0.1;35.0;Leppun;0.93;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204616_000;1.2;1.3;9.0;noise;0.72;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204626_000;0.0;4.6;18.0;noise;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204626_000;0.0;5.0;34.0;Testes;0.75;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204644_000;0.0;4.8;18.0;noise;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204644_000;0.0;5.0;34.0;Testes;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204700_000;1.6;5.0;24.0;noise;0.4;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204700_000;0.0;5.0;34.0;Testes;0.46;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204717_000;0.4;4.9;12.0;noise;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204717_000;0.0;5.0;34.0;Testes;0.66;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204738_000;0.0;3.3;24.0;noise;0.25;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204738_000;0.0;3.3;33.0;Testes;0.58;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204742_000;0.2;4.5;22.0;noise;0.29;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204742_000;0.0;4.2;33.0;Testes;0.82;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204753_000;0.0;3.6;26.0;noise;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204753_000;0.0;4.3;33.0;Testes;0.74;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204753_000;0.0;4.0;10.0;Tetvir;0.94;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204759_000;0.6;5.0;17.0;noise;0.24;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204759_000;0.0;5.0;35.0;Testes;0.76;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204810_000;0.0;3.3;21.0;noise;0.11;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204810_000;0.0;3.4;32.0;Testes;0.1;Antsp, Yposp, Leppun;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204810_000;0.2;2.3;28.0;Tetvir;0.69;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204814_000;0.0;4.9;12.0;noise;0.61;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204814_000;0.0;5.0;33.0;Testes;0.57;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204830_000;0.3;4.3;50.0;noise;0.09;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204830_000;0.0;3.8;35.0;Testes;0.61;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204830_000;0.6;5.0;32.0;Tetvir;0.89;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204838_000;0.0;3.3;14.0;noise;0.36;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204838_000;0.0;3.4;33.0;Testes;0.17;Inssp7;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204847_000;0.1;5.0;22.0;noise;0.6;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204847_000;0.0;4.9;35.0;Testes;0.53;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204909_000;1.9;5.0;28.0;noise;0.42;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204909_000;0.0;5.0;35.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204909_000;0.0;5.0;16.0;Tetvir;0.89;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204918_000;0.0;0.8;26.0;Leppun;0.21;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204918_000;0.0;2.0;29.0;noise;0.25;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204926_000;0.3;5.0;51.0;noise;0.19;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204926_000;0.0;5.0;36.0;Testes;0.37;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204944_000;0.0;5.0;20.0;noise;0.52;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204944_000;0.0;5.0;34.0;Testes;0.6;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204950_000;0.0;3.5;30.0;noise;0.37;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_204950_000;0.0;2.9;33.0;Testes;0.73;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205005_000;0.2;5.0;15.0;noise;0.51;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205005_000;0.0;5.0;33.0;Testes;0.79;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205022_000;0.0;2.3;22.0;noise;0.26;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205022_000;0.0;3.6;34.0;Testes;0.45;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205027_000;0.0;4.0;15.0;noise;0.46;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205027_000;0.0;4.2;33.0;Testes;0.68;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205036_000;0.0;5.0;28.0;noise;0.22;;;;;
Car381009-2026-Pass1-Z1-2MU00693_20260729_205036_000;0.0;5.0;32.0;Testes;0.82;;;;;
