# Taxons acceptes par l'API Vigie-Chiro (GET /taxons) — snapshot pour
# l'autocompletion/validation de la saisie observateur. Source de verite
# des codes envoyables ; regenerable via: python vigiechiro_api.py dump-taxons
code;libelle
234;JB
345;JB2
amph;Amphibien sp. (Amphibia sp.)
Anoalp;Analote des Alpes (Anonconotus alpinus)
Anosp;Analote indéterminée (Anonconotus sp.)
Antbou;Antaxie corse (Antaxius bouvieri)
Antcho;Antaxie catalane (Antaxius chopardi)
Anthis;Antaxie pyrénéenne (Antaxius hispanicus)
Antius;Antaxie voyageuse (Antaxius spinibrachius)
Antped;Antaxie marbrée (Antaxius pedestris)
Antsor;Antaxie cévénole (Antaxius sorrezensis)
Antsp;Antaxie sp. (Antaxius sp.)
Apofla;Mulot à collier (Apodemus flavicollis)
Aposp;Mulot sp. (Apodemus sp.)
Aposyl;Mulot sylvestre (Apodemus sylvaticus)
Barbar;Barbastelle d'Europe (Barbastella barbastellus)
Barfis;Barbitiste languedocien (Barbitistes fischerii)
Barobt;Barbitiste empourpré (Barbitistes obtusus)
Barsan;Barbitiste languedocien (Barbitistes fischeri)
Barser;Barbitiste des bois (Barbitistes serricauda)
Bicbic;Decticelle bicolore (Bicolorana bicolor)
buzz;Bourdonnement
Calram;Ephippigere gasconne (Callicrania ramburii)
Cansp.;Cansp.
car;Vehicule
Chiroptera;Chauves-souris
Chirosp;Chiroptère sp. (Chiroptera sp.)
chirp;chirp
Cicatr;Cigale noire (Cicadatra atra)
Cicorn;Cigale grise (Cicada orni)
cigale;Cigale indéterminée (Cicadidae sp.)
Concon;Conocéphale africain (Conocephalus conocephalus)
Condor;Conocéphale des marais (Conocephalus dorsalis)
Confus;Conocéphale bigarré (Conocephalus fuscus)
Corcho;Ephippigère corse (Corsteropleurus chopardi)
criq;Criquet (Caelifera sp.)
Cympud;Ecaille pudique (Cymbalophora pudica)
Cyrscu;Méconème à bouclier (Cyrtaspis scutata)
Decalb;Dectique à front blanc (Decticus albifrons)
elec;Bruit electronique
empty;vide
Epheph;Ephippigère des vignes (Ephippiger ephippiger)
Ephter;Ephippigere terrestre (Ephippiger terrestris)
Eptisa;Sérotine isabelle (Eptesicus isabellinus)
Eptnil;Sérotine boréale (Eptesicus nilssonii)
Eptser;Sérotine commune (Eptesicus serotinus)
Erirub;Rougegorge familier (Erithacus rubecula)
Eugpip;Grillon siffleur (Eugryllodes pipiens)
Eumbor;Grillon bordelais (Eumodicogryllus bordigalensis)
Eupcha;Decticelle splendide (Eupholidoptera chabrieri)
Eupsp;Decticelle splendide (Eupholidoptera sp.)
Euptyr;Decticelle corse (Eupholidoptera tyrrhenica)
Gligli;Loir gris (Glis glis)
gril;Grillon indeterminé (Grylloidea)
Grycam;Grillon champêtre (Gryllus campestris)
Grysp.;Gryllidae
Hemsp.;Hemiptera
Hylmer;Rainette méridionale (Hyla meridionalis)
Hypsav;Vespère (Hypsugo savii)
Insp10;Insecte sp.10
Insp11;Insecte sp. 11
Insp12;Insecte sp. 12
